Date,Open,High,Low,Close
Jun 15 2021,40516.28,41330,39506.4,40144.04
Jun 16 2021,40143.8,40527.14,38116.01,38349.01
Jun 17 2021,38349,39559.88,37365,38092.97
Jun 18 2021,38092.97,38202.84,35129.29,35819.84
Jun 19 2021,35820.48,36457,34803.52,35483.72
Jun 20 2021,35483.72,36137.72,33336,35600.16
Jun 21 2021,35600.17,35750,31251.23,31608.93
Jun 22 2021,31614.12,33298.78,28805,32509.56
Jun 23 2021,32509.56,34881,31683,33678.07
Jun 24 2021,33675.07,35298,32286.57,34663.09
Jun 25 2021,34663.08,35500,31275,31584.45
Jun 26 2021,31576.09,32730,30151,32283.65
Jun 27 2021,32283.65,34749,31973.45,34700.34
Jun 28 2021,34702.49,35297.71,33862.72,34494.89
Jun 29 2021,34494.89,36600,34225.43,35911.73
Jun 30 2021,35911.72,36100,34017.55,35045
Jul 1 2021,35045,35057.57,32711,33504.69
Jul 2 2021,33502.33,33977.04,32699,33786.55
Jul 3 2021,33786.54,34945.61,33316.73,34669.13
Jul 4 2021,34669.12,35967.85,34357.15,35286.51
Jul 5 2021,35288.13,35293.78,33125.55,33690.14
Jul 6 2021,33690.15,35118.88,33532,34220.01
Jul 7 2021,34220.02,35059.09,33777.77,33862.12
Jul 8 2021,33862.11,33929.64,32077,32875.71
Jul 9 2021,32875.71,34100,32261.07,33815.81
Jul 10 2021,33815.81,34262,33004.78,33502.87
Jul 11 2021,33502.87,34666,33306.47,34258.99
Jul 12 2021,34259,34678.43,32658.34,33086.63
Jul 13 2021,33086.94,33340,32202.25,32729.77
Jul 14 2021,32729.12,33114.03,31550,32820.02
Jul 15 2021,32820.03,33185.25,31133,31880
Jul 16 2021,31874.49,32249.18,31020,31383.87
Jul 17 2021,31383.86,31955.92,31164.31,31520.07
Jul 18 2021,31520.07,32435,31108.97,31778.56
Jul 19 2021,31778.57,31899,30407.44,30839.65
Jul 20 2021,30839.65,31063.07,29278,29790.35
Jul 21 2021,29790.34,32858,29482.61,32144.51
Jul 22 2021,32144.51,32591.35,31708,32287.83
Jul 23 2021,32287.58,33650,31924.32,33634.09
Jul 24 2021,33634.1,34500,33401.14,34258.14
Jul 25 2021,34261.51,35398,33851.12,35381.02
Jul 26 2021,35381.02,40550,35205.78,37237.6
Jul 27 2021,37241.33,39542.61,36383,39457.87
Jul 28 2021,39456.61,40900,38772,40019.56
Jul 29 2021,40019.57,40640,39200,40016.48
Jul 30 2021,40018.49,42316.71,38313.23,42206.37
Jul 31 2021,42206.36,42448,41000.15,41461.83
Aug 1 2021,41461.84,42599,39422.01,39845.44
Aug 2 2021,39850.27,40480.01,38690,39147.82
Aug 3 2021,39146.86,39780,37642.03,38207.05
Aug 4 2021,38207.04,39969.66,37508.56,39723.18
Aug 5 2021,39723.17,41350,37332.7,40862.46
Aug 6 2021,40862.46,43392.43,39853.86,42836.87
Aug 7 2021,42836.87,44700,42446.41,44572.54
Aug 8 2021,44572.54,45310,43261,43794.37
Aug 9 2021,43794.36,46454.15,42779,46253.4
Aug 10 2021,46248.87,46700,44589.46,45584.99
Aug 11 2021,45585,46743.47,45341.14,45511
Aug 12 2021,45510.67,46218.12,43770,44399
