1,2,3,4,5
1.67262E+12,16617.17,16799.23,16548.7,16672.87
1.6727E+12,16672.78,16778.4,16605.28,16675.18
1.67279E+12,16675.65,16991.87,16652.66,16850.36
1.67288E+12,16850.36,16879.82,16753,16831.85
1.67296E+12,16831.85,17041,16679,16950.65
1.67305E+12,16950.31,16981.91,16908,16943.57
1.67314E+12,16943.83,17176.99,16911,17127.83
1.67322E+12,17127.83,17398.8,17104.66,17178.26
1.67331E+12,17179.04,17499,17146.34,17440.66
1.6734E+12,17440.64,18000,17315.6,17943.26
1.67348E+12,17943.26,19117.04,17892.05,18846.62
1.67357E+12,18846.62,20000,18714.12,19930.01
1.67365E+12,19930.01,21258,19888.05,20954.92
1.67374E+12,20952.76,21050.74,20551.01,20871.5
1.67383E+12,20872.99,21474.05,20611.48,21185.65
1.67391E+12,21185.65,21647.45,20841.31,21134.81
1.674E+12,21132.29,21650,20407.15,20677.47
1.67409E+12,20677.47,21192,20659.19,21071.59
1.67417E+12,21071.59,22755.93,20861.28,22667.21
1.67426E+12,22666,23371.8,22422,22783.55
1.67435E+12,22783.35,23078.71,22292.37,22707.88
1.67443E+12,22706.02,23180,22500,22916.45
1.67452E+12,22917.81,23162.2,22462.93,22632.89
1.6746E+12,22631.94,23816.73,22300,23060.94
1.67469E+12,23060.42,23282.47,22850.01,23009.65
1.67478E+12,23009.65,23500,22534.88,23074.16
1.67486E+12,23074.16,23189,22878.46,23022.6
1.67495E+12,23021.4,23960.54,22967.76,23742.3
1.67504E+12,23743.37,23800.51,22500,22826.15
1.67512E+12,22827.38,23320,22714.77,23125.13
1.67521E+12,23125.13,23812.66,22760.23,23732.66
1.6753E+12,23731.41,24255,23363.27,23488.94
1.67538E+12,23489.33,23715.7,23204.62,23431.9
1.67547E+12,23431.9,23587.78,23253.96,23326.84
1.67556E+12,23327.66,23433.33,22743,22932.91
1.67564E+12,22932.91,23158.25,22628.13,22762.52
1.67573E+12,22762.52,23350.25,22745.78,23240.46
1.67581E+12,23242.42,23452,22665.85,22963
1.6759E+12,22961.85,23011.39,21688,21796.35
1.67599E+12,21797.83,21938.16,21451,21625.19
1.67607E+12,21625.19,21906.32,21599.78,21862.55
1.67616E+12,21862.02,22090,21630,21783.54
1.67625E+12,21782.37,21894.99,21351.07,21773.97
1.67633E+12,21774.63,22319.08,21532.77,22199.84
1.67642E+12,22199.84,24380,22047.28,24324.05
1.67651E+12,24322.87,25250,23505.25,23517.72
1.67659E+12,23517.72,25021.11,23339.37,24569.97
1.67668E+12,24568.24,24877,24430,24631.95
1.67676E+12,24632.05,25192,24192.57,24271.76
1.67685E+12,24272.51,25121.23,23840.83,24842.2
1.67694E+12,24843.89,25250,24148.34,24452.16
1.67702E+12,24450.67,24476.05,23574.69,24182.21
1.67711E+12,24182.21,24599.59,23608,23940.2
1.6772E+12,23940.2,24132.35,22841.19,23185.29
1.67728E+12,23184.04,23219.13,22722,23157.07
1.67737E+12,23157.07,23689.99,23059.18,23554.85
1.67746E+12,23554.85,23897.99,23106.77,23492.09
1.67754E+12,23492.09,23600,23020.97,23141.57
1.67763E+12,23141.57,24000,23020.03,23628.97
1.67772E+12,23629.76,23796.93,23195.9,23465.32
1.6778E+12,23465.32,23476.95,21971.13,22354.34
1.67789E+12,22354.34,22410,22157.08,22346.57
1.67797E+12,22346.57,22662.09,22189.22,22430.24
1.67806E+12,22430.24,22602.19,22258,22410
1.67815E+12,22409.41,22557.91,21927,22197.96
1.67823E+12,22198.56,22287,21580,21705.44
1.67832E+12,21704.37,21834.99,20042.72,20362.22
1.67841E+12,20362.21,20367.78,19549.09,20150.69
1.67849E+12,20150.69,20686.51,19765.03,20455.73
1.67858E+12,20455.73,22150,20270.6,21997.11
1.67867E+12,21998.05,24500,21813.88,24113.48
1.67875E+12,24112.27,26386.87,23976.42,24670.41
1.67884E+12,24670.41,25196.97,23896.95,24285.66
1.67892E+12,24285.66,25167.4,24123,24998.78
1.67901E+12,24998.78,27756.84,24890,27395.13
1.6791E+12,27395.13,27724.85,26578,26907.49
1.67918E+12,26907.49,28390.1,26827.22,27972.87
1.67927E+12,27972.87,28472,27124.47,27717.01
1.67936E+12,27717.01,28438.55,27303.1,28105.47
1.67944E+12,28107.81,28868.05,26601.8,27250.97
1.67953E+12,27250.97,28750,27105,28295.41
1.67962E+12,28295.42,28374.3,27000,27454.47
1.6797E+12,27454.46,27787.33,27156.09,27462.95
