1,2,3,4,5
Jan 2 2023,16617.17,16799.23,16548.7,16672.87
Jan 2 2023,16672.78,16778.4,16605.28,16675.18
Jan 3 2023,16675.65,16991.87,16652.66,16850.36
Jan 5 2023,16850.36,16879.82,16753,16831.85
Jan 5 2023,16831.85,17041,16679,16950.65
Jan 7 2023,16950.31,16981.91,16908,16943.57
Jan 8 2023,16943.83,17176.99,16911,17127.83
Jan 8 2023,17127.83,17398.8,17104.66,17178.26
Jan 10 2023,17179.04,17499,17146.34,17440.66
Jan 11 2023,17440.64,18000,17315.6,17943.26
Jan 11 2023,17943.26,19117.04,17892.05,18846.62
Jan 13 2023,18846.62,20000,18714.12,19930.01
Jan 13 2023,19930.01,21258,19888.05,20954.92
Jan 14 2023,20952.76,21050.74,20551.01,20871.5
Jan 16 2023,20872.99,21474.05,20611.48,21185.65
Jan 16 2023,21185.65,21647.45,20841.31,21134.81
Jan 18 2023,21132.29,21650,20407.15,20677.47
Jan 19 2023,20677.47,21192,20659.19,21071.59
Jan 19 2023,21071.59,22755.93,20861.28,22667.21
Jan 21 2023,22666,23371.8,22422,22783.55
Jan 22 2023,22783.35,23078.71,22292.37,22707.88
Jan 22 2023,22706.02,23180,22500,22916.45
Jan 24 2023,22917.81,23162.2,22462.93,22632.89
Jan 24 2023,22631.94,23816.73,22300,23060.94
Jan 25 2023,23060.42,23282.47,22850.01,23009.65
Jan 27 2023,23009.65,23500,22534.88,23074.16
Jan 27 2023,23074.16,23189,22878.46,23022.6
Jan 28 2023,23021.4,23960.54,22967.76,23742.3
Jan 30 2023,23743.37,23800.51,22500,22826.15
Jan 30 2023,22827.38,23320,22714.77,23125.13
Feb 1 2023,23125.13,23812.66,22760.23,23732.66
Feb 2 2023,23731.41,24255,23363.27,23488.94
Feb 2 2023,23489.33,23715.7,23204.62,23431.9
Feb 4 2023,23431.9,23587.78,23253.96,23326.84
Feb 5 2023,23327.66,23433.33,22743,22932.91
Feb 5 2023,22932.91,23158.25,22628.13,22762.52
Feb 7 2023,22762.52,23350.25,22745.78,23240.46
Feb 7 2023,23242.42,23452,22665.85,22963
Feb 8 2023,22961.85,23011.39,21688,21796.35
Feb 10 2023,21797.83,21938.16,21451,21625.19
Feb 10 2023,21625.19,21906.32,21599.78,21862.55
Feb 12 2023,21862.02,22090,21630,21783.54
Feb 13 2023,21782.37,21894.99,21351.07,21773.97
Feb 13 2023,21774.63,22319.08,21532.77,22199.84
Feb 15 2023,22199.84,24380,22047.28,24324.05
Feb 16 2023,24322.87,25250,23505.25,23517.72
Feb 16 2023,23517.72,25021.11,23339.37,24569.97
Feb 18 2023,24568.24,24877,24430,24631.95
Feb 18 2023,24632.05,25192,24192.57,24271.76
Feb 19 2023,24272.51,25121.23,23840.83,24842.2
Feb 21 2023,24843.89,25250,24148.34,24452.16
Feb 21 2023,24450.67,24476.05,23574.69,24182.21
Feb 22 2023,24182.21,24599.59,23608,23940.2
Feb 24 2023,23940.2,24132.35,22841.19,23185.29
Feb 24 2023,23184.04,23219.13,22722,23157.07
Feb 26 2023,23157.07,23689.99,23059.18,23554.85
Feb 27 2023,23554.85,23897.99,23106.77,23492.09
Feb 27 2023,23492.09,23600,23020.97,23141.57
Mar 1 2023,23141.57,24000,23020.03,23628.97
Mar 2 2023,23629.76,23796.93,23195.9,23465.32
Mar 2 2023,23465.32,23476.95,21971.13,22354.34
Mar 4 2023,22354.34,22410,22157.08,22346.57
Mar 4 2023,22346.57,22662.09,22189.22,22430.24
Mar 5 2023,22430.24,22602.19,22258,22410
Mar 7 2023,22409.41,22557.91,21927,22197.96
Mar 7 2023,22198.56,22287,21580,21705.44
Mar 9 2023,21704.37,21834.99,20042.72,20362.22
Mar 10 2023,20362.21,20367.78,19549.09,20150.69
Mar 10 2023,20150.69,20686.51,19765.03,20455.73
Mar 12 2023,20455.73,22150,20270.6,21997.11
Mar 13 2023,21998.05,24500,21813.88,24113.48
Mar 14 2023,24112.27,26386.87,23976.42,24670.41
Mar 15 2023,24670.41,25196.97,23896.95,24285.66
Mar 15 2023,24285.66,25167.4,24123,24998.78
Mar 16 2023,24998.78,27756.84,24890,27395.13
Mar 18 2023,27395.13,27724.85,26578,26907.49
Mar 18 2023,26907.49,28390.1,26827.22,27972.87
Mar 19 2023,27972.87,28472,27124.47,27717.01
Mar 21 2023,27717.01,28438.55,27303.1,28105.47
Mar 21 2023,28107.81,28868.05,26601.8,27250.97
Mar 23 2023,27250.97,28750,27105,28295.41
Mar 24 2023,28295.42,28374.3,27000,27454.47
Mar 24 2023,27454.46,27787.33,27156.09,27462.95
